Date;Time;Comment;PackIndex;OrderSymbol;OrderOpenPrice;OrderComment;OrderMagicNumber;OrderTicketNumber;OrderProfitPips;OrderTargetProfitPips;PackID;PackProfitPips;PackTargetProfitPips
2015/11/26;0:59:44;FirstOrganization;0;CADJPY;92.34200000;3_11111;11111;89649866;-48.09000000;15;358599434;-168.61000000;55
2015/11/26;0:59:44;FirstOrganization;0;USDCHF;1.02131000;3_11111;11111;89649864;-39.15000000;15;358599434;-168.61000000;55
2015/11/26;0:59:44;FirstOrganization;0;AUDNZD;1.10262000;3_11111;11111;89649860;-22.37000000;15;358599434;-168.61000000;55
2015/11/26;0:59:44;FirstOrganization;0;EURGBP;0.70190000;2_11111;11111;89649844;-59.00000000;10;358599434;-168.61000000;55
2015/11/26;0:59:44;FirstOrganization;1;AUDCAD;0.96393000;3_11111;11111;89649867;-60.93000000;15;358599434;-216.21000000;55
2015/11/26;0:59:44;FirstOrganization;1;USDJPY;122.71500000;3_11111;11111;89649865;-16.30000000;15;358599434;-216.21000000;55
2015/11/26;0:59:44;FirstOrganization;1;EURGBP;0.70236000;3_11111;11111;89649863;-49.91000000;15;358599434;-216.21000000;55
2015/11/26;0:59:44;FirstOrganization;1;NZDCHF;0.67180000;2_11111;11111;89649839;-89.07000000;10;358599434;-216.21000000;55
2015/11/26;0:59:44;FirstOrganization;2;AUDNZD;1.10201000;3_11111;11111;89649859;-51.33000000;15;358599389;-186.28000000;45
2015/11/26;0:59:44;FirstOrganization;2;EURCAD;1.41156000;3_11111;11111;89649858;-33.85000000;15;358599389;-186.28000000;45
2015/11/26;0:59:44;FirstOrganization;2;USDCHF;1.02173000;2_11111;11111;89649841;-34.27000000;10;358599389;-186.28000000;45
2015/11/26;0:59:44;FirstOrganization;2;GBPJPY;185.66100000;1_11111;11111;89649831;-66.83000000;5;358599389;-186.28000000;45
2015/11/26;0:59:44;FirstOrganization;3;EURNZD;1.61408000;2_11111;11111;89649846;-26.31000000;10;358543838;-184.24000000;40
2015/11/26;0:59:44;FirstOrganization;3;CADJPY;92.27000000;2_11111;11111;89649843;-48.08000000;10;358543838;-184.24000000;40
2015/11/26;0:59:44;FirstOrganization;3;GBPCHF;1.54497000;1_11111;11111;89649830;-52.85000000;5;358543838;-184.24000000;40
2015/11/26;0:59:44;FirstOrganization;3;AUDUSD;0.72601000;3_11111;11111;89594319;-57.00000000;15;358543838;-184.24000000;40
2015/11/26;0:59:44;FirstOrganization;4;EURJPY;130.33800000;3_11111;11111;89649862;-23.64000000;15;358543871;-187.20000000;50
2015/11/26;0:59:44;FirstOrganization;4;NZDCAD;0.87441000;3_11111;11111;89649861;-48.14000000;15;358543871;-187.20000000;50
2015/11/26;0:59:44;FirstOrganization;4;GBPUSD;1.51292000;2_11111;11111;89649842;-43.00000000;10;358543871;-187.20000000;50
2015/11/26;0:59:44;FirstOrganization;4;AUDCHF;0.74072000;2_11111;11111;89594306;-72.42000000;10;358543871;-187.20000000;50
2015/11/26;0:59:44;FirstOrganization;5;EURJPY;130.33300000;2_11111;11111;89649849;-19.56000000;10;268949525;-248.27000000;25
2015/11/26;0:59:44;FirstOrganization;5;GBPCAD;2.01196000;2_11111;11111;89649847;-137.69000000;10;268949525;-248.27000000;25
2015/11/26;0:59:44;FirstOrganization;5;NZDCHF;0.67178000;1_11111;11111;89649829;-91.02000000;5;268949525;-248.27000000;25
2015/11/26;0:59:44;FirstOrganization;6;EURJPY;130.30600000;2_11111;11111;89649845;-25.27000000;10;268893997;-166.81000000;30
2015/11/26;0:59:44;FirstOrganization;6;GBPNZD;2.29928000;1_11111;11111;89649837;-69.09000000;5;268893997;-166.81000000;30
2015/11/26;0:59:44;FirstOrganization;6;USDCHF;1.02212000;3_11111;11111;89594315;-72.45000000;15;268893997;-166.81000000;30
2015/11/26;0:59:44;FirstOrganization;7;EURNZD;1.61408000;2_11111;11111;89649840;-26.31000000;10;268893989;-198.74000000;30
2015/11/26;0:59:44;FirstOrganization;7;CHFJPY;120.07800000;1_11111;11111;89649836;-51.33000000;5;268893989;-198.74000000;30
2015/11/26;0:59:44;FirstOrganization;7;GBPCAD;2.00943000;3_11111;11111;89594313;-121.10000000;15;268893989;-198.74000000;30
2015/11/26;0:59:44;FirstOrganization;8;USDJPY;122.70200000;3_11111;11111;89594317;-9.78000000;15;268782926;-191.15000000;35
2015/11/26;0:59:44;FirstOrganization;8;GBPCHF;1.54363000;2_11111;11111;89594309;-184.00000000;10;268782926;-191.15000000;35
2015/11/26;0:59:44;FirstOrganization;8;EURNZD;1.61440000;2_11111;11111;89594300;2.63000000;10;268782926;-191.15000000;35
2015/11/26;0:59:44;FirstOrganization;9;USDJPY;122.72300000;1_11111;11111;89649833;-22.82000000;5;268893962;-109.21000000;20
2015/11/26;0:59:44;FirstOrganization;9;GBPNZD;2.29928000;1_11111;11111;89649832;-69.09000000;5;268893962;-109.21000000;20
2015/11/26;0:59:44;FirstOrganization;9;EURCAD;1.41178000;2_11111;11111;89594297;-17.30000000;10;268893962;-109.21000000;20
